checklist,sheet,section,kind,step_label,field_type_hint,required_yn,example_value,timing_or_note,row_no,col_no
ListingChecklist_2025_2026,filters,contact source,enum_value,single_phase,,,,,2,8
ListingChecklist_2025_2026,filters,contact source,enum_value,Agricultural,,,,,2,9
ListingChecklist_2025_2026,filters,contact source,enum_value,agricultural,,,,,2,10
ListingChecklist_2025_2026,filters,contact source,enum_value,commercial_building,,,,,2,11
ListingChecklist_2025_2026,filters,contact source,enum_value,Introducer,,,,,3,0
ListingChecklist_2025_2026,filters,contact source,enum_value,NO,,,,,3,1
ListingChecklist_2025_2026,filters,contact source,enum_value,Duplex Apartment,,,,,3,2
ListingChecklist_2025_2026,filters,contact source,enum_value,Garden view,,,,,3,3
ListingChecklist_2025_2026,filters,contact source,enum_value,Semi_furnished,,,,,3,4
ListingChecklist_2025_2026,filters,contact source,enum_value,Communal,,,,,3,5
ListingChecklist_2025_2026,filters,contact source,enum_value,bottle_gas_lpg,,,,,3,6
ListingChecklist_2025_2026,filters,contact source,enum_value,three_phase,,,,,3,8
ListingChecklist_2025_2026,filters,contact source,enum_value,Field,,,,,3,9
ListingChecklist_2025_2026,filters,contact source,enum_value,commercial,,,,,3,10
ListingChecklist_2025_2026,filters,contact source,enum_value,mixed-use_building,,,,,3,11
ListingChecklist_2025_2026,filters,contact source,enum_value,Company/CRM,,,,,4,0
ListingChecklist_2025_2026,filters,contact source,enum_value,Ground Floor Apartment,,,,,4,2
ListingChecklist_2025_2026,filters,contact source,enum_value,Mountain view,,,,,4,3
ListingChecklist_2025_2026,filters,contact source,enum_value,Optionally_furnished,,,,,4,4
ListingChecklist_2025_2026,filters,contact source,enum_value,electric_heating,,,,,4,6
ListingChecklist_2025_2026,filters,contact source,enum_value,industrial,,,,,4,8
ListingChecklist_2025_2026,filters,contact source,enum_value,Plot,,,,,4,9
ListingChecklist_2025_2026,filters,contact source,enum_value,office_building,,,,,4,11
ListingChecklist_2025_2026,filters,contact source,section,contact source,,,,,1,0
ListingProcedure_2024,Brokers,Brokers,step,Updated January 2024,,,,,1,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,section,Listing Process Checklist Brokers,,,,,4,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Appointment with the Seller,,,,,6,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Presentation Sell with Us,,,,,7,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Due Diligence Report,,,,,9,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Get title deeds & permits from the seller,,,,,10,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Give titled deeds & permits to Alesia,,,,,11,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,"""Valuation"" report *",,,,,12,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Get OK from Anastasia,,,,,13,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Signing of Agreement & Getting Info,,,,,15,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Get ready listing agreement from Alesia,,,,,16,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Send agreement with agreed commissions,,,,,17,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Highlight that the price has to be the same,,,,,18,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Signed by all owners and Alex,,,,,19,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Checklist Property Details,,,,,20,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Personal photos and video,,,,,21,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Upload signed listing agreement in CRM,,,,,23,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Give signed agreement to Nadezda,,,,,24,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Arrange photoshoot with Irina (property to be cleaned and prepared!!!),,,,,26,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Invite sales team to view the property on the day of photoshoot,,,,,27,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Make personal stories and videos & tag Cyprus Sotheby's & Anastasia,,,,,28,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,"Give checklist, photos and description of the property to Natalia Sh",,,,,30,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Present your property at Listing meeting (every second Wednesday),,,,,32,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Once a month to call after Listtrack report,,,,,34,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Reflect a call in CRM & schedule next follow up,,,,,35,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Registration of viewings,,,,,37,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Listing broker confirms appointment with the seller,,,,,38,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Natalia sends written appointment request,,,,,39,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Client viewing confirmation,,,,,41,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Form signed by seller,,,,,42,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Signed form given to Natalia Sh,,,,,43,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Payment,,,,,45,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Invoice issued by Nadezda,,,,,46,0
ListingProcedure_2024,Brokers,Listing Process Checklist Brokers,step,Follow up on payment - listing broker,,,,,47,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),section,Listing Process Checklist Marketing (only after listing agreement is signed),,,,,1,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Filing of agreement,,,,,3,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Paper copy,,,,,4,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Digital copy,,,,,5,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Registry of agreements,,,,,6,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Photoshoot expences approval if applicable,,,,,8,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Get form from marketing & sign,,,,,9,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Viewing confirmation,,,,,11,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,File paper copy together with agreement,,,,,12,0
ListingProcedure_2024,Finances,Listing Process Checklist Marketing (only after listing agreement is signed),step,Invoicing,,,,,14,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),section,Listing Process Checklist Marketing (only after listing agreement is signed),,,,,1,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Get property details checklist & description from broker,,,,,3,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Get pictures,,,,,4,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Add property to CRM,,,,1 week from the receipt of signed listing agreement,7,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Add property to Cyprus website,,,,1 week from the receipt of signed listing agreement (if aplicable),9,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Add property to SIR website and all portals,,,,1 week from the receipt of signed listing agreement (if aplicable),11,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Add seller details and broker details in Listtrack (monthly report),,,,,13,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,"Add property to marketing schedule (SMM, newsletters, etc.)",,,,,15,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Registration of appointments,,,,,17,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Scan and add to CRM viewing confirmations,,,,,19,0
ListingProcedure_2024,Marketing,Listing Process Checklist Marketing (only after listing agreement is signed),step,Paper copy to be given to Nadezda,,,,,20,0
