reso_field,reso_definition,reso_lookup,reso_data_type,is_extension,dash_form,dash_label,qobrix_schema,qobrix_path,sir_label,value_mapping_json,confidence,has_dash,has_qobrix,has_sir,notes
MediaKey,A unique identifier for this record from the immediate source. This may be a number or a string that can include a Uniform Resource Identifier (URI) or other forms. This is the system you are connecting to and not necessarily the original source of the record.,,String,false,,,MediaResponse,id,,,high,no,yes,no,
MediaType,"Media types as defined by the Internet Assigned Numbers Authority (IANA), http://www.iana.org/assignments/media-types/index.html. Note that the former name of MimeType, used by both IANA and RESO, may still be in use by some systems/entities.",MediaType,"String List, Single",false,,,MediaResponse,file/mime_type,,,medium,no,yes,no,"Coarse mapping from mime_type prefix to RESO MediaType lookup (image -> Photo, video -> Video, etc.)."
MediaURL,The Uniform Resource Identifier (URI) to the media file referenced by this record.,,String,false,,,MediaResponse,file/href,,,medium,no,yes,no,MediaResponse.file is a nested MediaFile object; href is the public URL (original_url for the original).
Order,"Only a positive integer, including zero. Element zero is the primary photo per RESO convention.",,Number,false,,,MediaResponse,display_order,,,high,no,yes,no,
ResourceName,"The resource or table of the listing or other record the media relates to (i.e., Property, Member, Office, etc.).",ResourceName,"String List, Single",false,,,MediaResponse,related_model,,,medium,no,yes,no,Qobrix model name (e.g. 'Property') maps directly to the RESO ResourceName lookup value.
ResourceRecordKey,"The primary key of the related record from the source resource (e.g., ListingKey, AgentKey, OfficeKey, TeamKey). This is the system being connected to and not necessarily the original source of the record. This is a foreign key from the resource selected in the ResourceName field.",,String,false,,,MediaResponse,related_id,,,high,no,yes,no,related_model + related_id form the parent pointer; CDL stores related_id under ResourceRecordKey and uses related_model to set ResourceName.
