ResourceName,StandardName,Definition,SourceURL
Association,SourceSystemName,The name of the immediate record provider. The system from which the record was directly received. The legal name of the company.,https://dd.reso.org/DD2.0/Association/SourceSystemName/
Caravan,CancellationPolicyUrl,"The Uniform Resource Locator (aka, URL or link) to the cancellation policy of the tour organizer.",https://dd.reso.org/DD2.0/Caravan/CancellationPolicyUrl/
Caravan,CaravanAllowedClassNames,A comma-separated list of the classes allowed by the tour's host.,https://dd.reso.org/DD2.0/Caravan/CaravanAllowedClassNames/
Caravan,CaravanAllowedStatuses,A comma-separated list of the listing statuses allowed by the tour's host.,https://dd.reso.org/DD2.0/Caravan/CaravanAllowedStatuses/
Caravan,CaravanAreaDescription,A textual description of the geographic or locally known areas that all properties to be included in the tour must be located.,https://dd.reso.org/DD2.0/Caravan/CaravanAreaDescription/
Caravan,CaravanBlackoutDates,"A comma-separated list of the dates when a reoccurring tour will not take place (e.g., holidays, weekends, etc.).",https://dd.reso.org/DD2.0/Caravan/CaravanBlackoutDates/
Caravan,CaravanDate,The date of the organized tour.,https://dd.reso.org/DD2.0/Caravan/CaravanDate/
Caravan,CaravanDaysRecurring,"Used with unbound timeframes (e.g., second Tuesday of month).",https://dd.reso.org/DD2.0/Caravan/CaravanDaysRecurring/
Caravan,CaravanEndTime,The end time of the organized tour.,https://dd.reso.org/DD2.0/Caravan/CaravanEndTime/
Caravan,CaravanInputDeadlineDescription,A textual description of the deadline to add a stop (property or open house) to the tour.,https://dd.reso.org/DD2.0/Caravan/CaravanInputDeadlineDescription/
Caravan,CaravanInputDeadlineTimestamp,A date/time of the deadline to add a stop (property or open house) to the tour.,https://dd.reso.org/DD2.0/Caravan/CaravanInputDeadlineTimestamp/
Caravan,CaravanKey,"A system unique identifier. Specifically, in aggregation systems, the CaravanKey is the system unique identifier from the system that the record was retrieved.",https://dd.reso.org/DD2.0/Caravan/CaravanKey/
Caravan,CaravanName,The name or short description of the tour.,https://dd.reso.org/DD2.0/Caravan/CaravanName/
Caravan,CaravanOrganizerContactInfo,"Contact information for the tour organizer, such as phone or email.",https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerContactInfo/
Caravan,CaravanOrganizerKey,"A system unique identifier for the entity hosting the tour. Specifically, in aggregation systems, the Key is the system unique identifier from the system that the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set.",https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerKey/
Caravan,CaravanOrganizerMlsId,"The local, well-known identifier for the entity hosting the tour. This value may not be unique, specifically in the case of aggregation systems, this value should be the identifier from the original system.",https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerMlsId/
Caravan,CaravanOrganizerName,The name of the entity hosting the tour.,https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerName/
Caravan,CaravanOrganizerResourceName,"The resource or table of the record to which the CaravanOrganizerKey or MlsId refers (i.e., Office, Association, etc.).",https://dd.reso.org/DD2.0/Caravan/CaravanOrganizerResourceName/
Caravan,CaravanPolicyUrl,"The Uniform Resource Locator (aka, URL or link) to the general tour policies of the tour organizer.",https://dd.reso.org/DD2.0/Caravan/CaravanPolicyUrl/
Caravan,CaravanRemarks,"The detailed description, directions, policy or other details about the tour.",https://dd.reso.org/DD2.0/Caravan/CaravanRemarks/
Caravan,CaravanStartLocation,"A description or address of the location where the tour begins. This is typically not one of the stops but an event where each of the stops are presented, general announcements are made, refreshments and/or prizes are given.",https://dd.reso.org/DD2.0/Caravan/CaravanStartLocation/
Caravan,CaravanStartLocationGiveaways,"A description of prizes, drawings, etc., that will be given at the tour start location.",https://dd.reso.org/DD2.0/Caravan/CaravanStartLocationGiveaways/
Caravan,CaravanStartLocationRefreshments,A description of the refreshments that will be served at the tour start location.,https://dd.reso.org/DD2.0/Caravan/CaravanStartLocationRefreshments/
Caravan,CaravanStartTime,The start time of the organized tour.,https://dd.reso.org/DD2.0/Caravan/CaravanStartTime/
Caravan,CaravanStatus,"Status of the organized tour (e.g., Active, Cancelled, Ended, etc.).",https://dd.reso.org/DD2.0/Caravan/CaravanStatus/
Caravan,CaravanType,"The type of organized tour (e.g., AOR, Broker, Other, etc.).",https://dd.reso.org/DD2.0/Caravan/CaravanType/
Caravan,ModificationTimestamp,The date/time the Caravan record was last modified.,https://dd.reso.org/DD2.0/Caravan/ModificationTimestamp/
Caravan,OriginalEntryTimestamp,The date/time the Caravan record was originally input into the source system.,https://dd.reso.org/DD2.0/Caravan/OriginalEntryTimestamp/
Caravan,OriginatingSystemId,"The RESO UOI's OrganizationUniqueId of the originating record provider. The originating system is the system with authoritative control over the record (e.g., the name of the MLS where the CaravanStop was inputted). In cases where the originating system was not where the record originated (the authoritative system), see the Originating System fields.",https://dd.reso.org/DD2.0/Caravan/OriginatingSystemId/
Caravan,OriginatingSystemKey,"The system key, a unique record identifier, from the originating system. The originating system is the system with authoritative control over the record (e.g., the MLS where the CaravanStop was inputted). There may be cases where the source system (how you received the record) is not the originating system. See Source System Key for more information.",https://dd.reso.org/DD2.0/Caravan/OriginatingSystemKey/
Caravan,OriginatingSystemName,The name of the originating record provider. Most commonly the name of the MLS. The place where the CaravanStop was originally inputted. The legal name of the company.,https://dd.reso.org/DD2.0/Caravan/OriginatingSystemName/
Caravan,SourceSystemId,"The RESO UOI's OrganizationUniqueId of the source record provider. The source system is the system from which the record was directly received. In cases where the source system was not where the record originated (the authoritative system), see the Originating System fields.",https://dd.reso.org/DD2.0/Caravan/SourceSystemId/
