Resource,Field,StandardName,DisplayName,Group,DataType,MaxLength,MaxPrecision,Synonyms,FieldStatus,BEDES,Lookup,LookupStatus,PropertyTypes,Payloads,SpanishName,FrenchCanadianName,StatusChangeDate,RevisionDate,AddedInVersion,SourceResource,OrgPct,OrgAdopted,OrgTotal,SourceUrl,FetchedAt
Association,AssociationPostalCodePlus4,AssociationPostalCodePlus4,Association Postal Code Plus 4,,String,4,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationPostalCodePlus4/,2026-05-04T15:53:40Z
Association,AssociationSocialMedia,AssociationSocialMedia,Association Social Media,,Collection,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,SocialMedia,,,,https://dd.reso.org/DD2.0/Association/AssociationSocialMedia/,2026-05-04T15:53:40Z
Association,AssociationStateOrProvince,AssociationStateOrProvince,Association State or Province,,"String List, Single",2,,,Active,,StateOrProvince,Open with Enumerations,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationStateOrProvince/,2026-05-04T15:53:40Z
Association,AssociationStatus,AssociationStatus,Association Status,,"String List, Single",25,,,Active,,AssociationStatus,Open with Enumerations,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationStatus/,2026-05-04T15:53:40Z
Association,AssociationType,AssociationType,Association Type,,"String List, Single",50,,,Active,,AssociationType,Open with Enumerations,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/AssociationType/,2026-05-04T15:53:40Z
Association,ExecutiveOfficerMemberKey,ExecutiveOfficerMemberKey,Executive Officer Member Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/ExecutiveOfficerMemberKey/,2026-05-04T15:53:40Z
Association,ExecutiveOfficerMemberMlsId,ExecutiveOfficerMemberMlsId,Executive Officer Member MLS ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/ExecutiveOfficerMemberMlsId/,2026-05-04T15:53:40Z
Association,HistoryTransactional,HistoryTransactional,History Transactional,,Collection,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,HistoryTransactional,,,,https://dd.reso.org/DD2.0/Association/HistoryTransactional/,2026-05-04T15:53:40Z
Association,ModificationTimestamp,ModificationTimestamp,Modification Timestamp,,Timestamp,27,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/ModificationTimestamp/,2026-05-04T15:53:40Z
Association,MultipleListingServiceId,MultipleListingServiceId,Multiple Listing Service ID,,String,25,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,,,,https://dd.reso.org/DD2.0/Association/MultipleListingServiceId/,2026-05-04T15:53:40Z
Association,OriginalEntryTimestamp,OriginalEntryTimestamp,Original Entry Timestamp,,Timestamp,27,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/OriginalEntryTimestamp/,2026-05-04T15:53:40Z
Association,OriginatingSystem,OriginatingSystem,Originating System,,Resource,,,,Active,,,,,AMS,,,4/4/2023,4/4/2023,2.0.0,OUID,,,,https://dd.reso.org/DD2.0/Association/OriginatingSystem/,2026-05-04T15:53:40Z
Association,OriginatingSystemAssociationKey,OriginatingSystemAssociationKey,Originating System Association Key,,String,255,,,Active,,,,,AMS,,,7/25/2019,7/25/2019,2.0.0,,0,1,344,https://dd.reso.org/DD2.0/Association/OriginatingSystemAssociationKey/,2026-05-04T15:53:40Z
