host_resource,host_field,candidate_satellite,target_resource,target_field,jaccard,host_token_count,target_token_count,shared_token_count,host_def_first120,target_def_first120
Property,BuyerOfficeKey,BuyerOfficePhone,Office,OfficePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,BuyerOfficeKey,BuyerOfficePhoneExt,Office,OfficePhoneExt,1.000,5,5,5,"The extension of the given phone number, if applicable.",The extension of the given phone number (if applicable).
Property,BuyerTeamKey,BuyerTeamName,Teams,TeamName,0.143,2,6,1,The name of the team representing the buyer.,"The name under which the team operates. If a business, this may be a DBA (doing business as)."
Property,CoBuyerAgentKey,CoBuyerAgentAOR,Member,MemberAOR,0.750,3,4,3,The co-buyer agent's board or association of REALTORS®.,The member's primary board or association of REALTORS®.
Property,CoBuyerAgentKey,CoBuyerAgentDesignation,Member,MemberDesignation,0.952,21,20,20,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by the,Designations and certifications acknowledging experience and expertise in various real estate sectors are awarded by the
Property,CoBuyerAgentKey,CoBuyerAgentDirectPhone,Member,MemberDirectPhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentEmail,Member,MemberEmail,1.000,2,2,2,The email address of the buyer's co-agent.,The email address of the member.
Property,CoBuyerAgentKey,CoBuyerAgentFax,Member,MemberFax,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentFirstName,Member,MemberFirstName,1.000,2,2,2,The first name of the buyer's co-agent.,The first name of the member.
Property,CoBuyerAgentKey,CoBuyerAgentFullName,Member,MemberFullName,0.667,4,6,4,"The first, middle and last name of the buyer's co-agent.","The first, middle and last name of the member or an alternate full name."
Property,CoBuyerAgentKey,CoBuyerAgentHomePhone,Member,MemberHomePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentLastName,Member,MemberLastName,1.000,2,2,2,The last name of the buyer's co-agent.,The last name of the member.
Property,CoBuyerAgentKey,CoBuyerAgentMiddleName,Member,MemberMiddleName,1.000,2,2,2,The middle name of the buyer's co-agent.,The middle name of the member.
Property,CoBuyerAgentKey,CoBuyerAgentMlsId,Member,MemberMlsId,1.000,12,12,12,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it ","The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation s"
Property,CoBuyerAgentKey,CoBuyerAgentMobilePhone,Member,MemberMobilePhone,1.000,21,21,21,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions ,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions 
Property,CoBuyerAgentKey,CoBuyerAgentNamePrefix,Member,MemberNamePrefix,1.000,6,6,6,"The prefix to the name (e.g., Dr., Mr., Ms.).","The prefix to the member name (e.g., Dr., Mr., Ms.)."
Property,CoBuyerAgentKey,CoBuyerAgentNameSuffix,Member,MemberNameSuffix,0.714,6,6,5,"The suffix to the name (e.g., Esq., Jr., III).","The suffix to the member surname (e.g., Esq., Jr., III)."
