host_resource,host_field,stem,suffix,target_resource,match_kind,target_pk_column,notes
Showing,ShowingId,Showing,Id,Showing,exact_stem,ShowingKey,self_referencing
Showing,ShowingKey,Showing,Key,Showing,exact_stem,ShowingKey,self_referencing
ShowingAppointment,ShowingAppointmentId,ShowingAppointment,Id,ShowingAppointment,exact_stem,ShowingAppointmentKey,self_referencing
ShowingAppointment,ShowingAppointmentKey,ShowingAppointment,Key,ShowingAppointment,exact_stem,ShowingAppointmentKey,self_referencing
ShowingAppointment,ShowingId,Showing,Id,Showing,exact_stem,ShowingKey,
ShowingAppointment,ShowingKey,Showing,Key,Showing,exact_stem,ShowingKey,
ShowingAvailability,ShowingAvailabilityKey,ShowingAvailability,Key,ShowingAvailability,exact_stem,ShowingAvailabilityKey,self_referencing
ShowingAvailability,ShowingId,Showing,Id,Showing,exact_stem,ShowingKey,
ShowingAvailability,ShowingKey,Showing,Key,Showing,exact_stem,ShowingKey,
ShowingAvailability,UniversalPropertyId,UniversalProperty,Id,Property,tail_stem,PropertyKey,head=Universal
ShowingRequest,ShowingId,Showing,Id,Showing,exact_stem,ShowingKey,
ShowingRequest,ShowingKey,Showing,Key,Showing,exact_stem,ShowingKey,
ShowingRequest,ShowingRequestId,ShowingRequest,Id,ShowingRequest,exact_stem,ShowingRequestKey,self_referencing
ShowingRequest,ShowingRequestKey,ShowingRequest,Key,ShowingRequest,exact_stem,ShowingRequestKey,self_referencing
SocialMedia,SocialMediaKey,SocialMedia,Key,SocialMedia,exact_stem,SocialMediaKey,self_referencing
TeamMembers,MemberKey,Member,Key,Member,exact_stem,MemberKey,
TeamMembers,TeamMemberNationalAssociationId,TeamMemberNationalAssociation,Id,Association,tail_stem,AssociationKey,head=TeamMemberNational
Teams,TeamLeadNationalAssociationId,TeamLeadNationalAssociation,Id,Association,tail_stem,AssociationKey,head=TeamLeadNational
