LookupName,Description,ValueCount,UsedByCount,SourceURL
GreenBuildingVerificationType,,18,2,https://dd.reso.org/DD2.0/lookups/GreenBuildingVerificationType/
GreenEnergyEfficient,,12,1,https://dd.reso.org/DD2.0/lookups/GreenEnergyEfficient/
GreenEnergyGeneration,,2,1,https://dd.reso.org/DD2.0/lookups/GreenEnergyGeneration/
GreenIndoorAirQuality,,4,1,https://dd.reso.org/DD2.0/lookups/GreenIndoorAirQuality/
GreenLocation,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/GreenLocation/
GreenSustainability,,7,1,https://dd.reso.org/DD2.0/lookups/GreenSustainability/
GreenVerificationSource,,10,1,https://dd.reso.org/DD2.0/lookups/GreenVerificationSource/
GreenVerificationStatus,,2,1,https://dd.reso.org/DD2.0/lookups/GreenVerificationStatus/
GreenWaterConservation,,6,1,https://dd.reso.org/DD2.0/lookups/GreenWaterConservation/
Heating,,42,1,https://dd.reso.org/DD2.0/lookups/Heating/
HighSchool,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/HighSchool/
HighSchoolDistrict,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/HighSchoolDistrict/
HorseAmenities,,18,1,https://dd.reso.org/DD2.0/lookups/HorseAmenities/
HoursDaysOfOperation,,9,1,https://dd.reso.org/DD2.0/lookups/HoursDaysOfOperation/
IanaTimeZoneValues,,482,3,https://dd.reso.org/DD2.0/lookups/IanaTimeZoneValues/
ImageOf,,86,1,https://dd.reso.org/DD2.0/lookups/ImageOf/
ImageSizeDescription,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/ImageSizeDescription/
IncomeIncludes,,6,1,https://dd.reso.org/DD2.0/lookups/IncomeIncludes/
InteriorOrRoomFeatures,,53,2,https://dd.reso.org/DD2.0/lookups/InteriorOrRoomFeatures/
IrrigationSource,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/IrrigationSource/
LaborInformation,,3,1,https://dd.reso.org/DD2.0/lookups/LaborInformation/
Languages,,190,3,https://dd.reso.org/DD2.0/lookups/Languages/
LaundryFeatures,,24,1,https://dd.reso.org/DD2.0/lookups/LaundryFeatures/
LeaseRenewalCompensation,,5,1,https://dd.reso.org/DD2.0/lookups/LeaseRenewalCompensation/
LeaseTerm,,10,1,https://dd.reso.org/DD2.0/lookups/LeaseTerm/
Levels,,8,1,https://dd.reso.org/DD2.0/lookups/Levels/
LinearUnits,,2,15,https://dd.reso.org/DD2.0/lookups/LinearUnits/
ListAgentDesignation,,27,1,https://dd.reso.org/DD2.0/lookups/ListAgentDesignation/
ListingAgreement,,7,1,https://dd.reso.org/DD2.0/lookups/ListingAgreement/
ListingService,,3,1,https://dd.reso.org/DD2.0/lookups/ListingService/
ListingTerms,,26,1,https://dd.reso.org/DD2.0/lookups/ListingTerms/
ListingURLDescription,,7,1,https://dd.reso.org/DD2.0/lookups/ListingURLDescription/
LockBoxType,,8,1,https://dd.reso.org/DD2.0/lookups/LockBoxType/
LockOrBoxAccessType,,3,1,https://dd.reso.org/DD2.0/lookups/LockOrBoxAccessType/
LotDimensionsSource,,11,1,https://dd.reso.org/DD2.0/lookups/LotDimensionsSource/
LotFeatures,,56,1,https://dd.reso.org/DD2.0/lookups/LotFeatures/
LotSizeSource,,9,1,https://dd.reso.org/DD2.0/lookups/LotSizeSource/
LotSizeUnits,,3,1,https://dd.reso.org/DD2.0/lookups/LotSizeUnits/
MLSAreaMajor,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MLSAreaMajor/
MLSAreaMinor,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MLSAreaMinor/
MediaAlteration,,10,1,https://dd.reso.org/DD2.0/lookups/MediaAlteration/
MediaCategory,,9,1,https://dd.reso.org/DD2.0/lookups/MediaCategory/
MediaStatus,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MediaStatus/
MediaType,,16,1,https://dd.reso.org/DD2.0/lookups/MediaType/
MemberAssociationBillStatus,,3,1,https://dd.reso.org/DD2.0/lookups/MemberAssociationBillStatus/
MemberDesignation,,27,1,https://dd.reso.org/DD2.0/lookups/MemberDesignation/
MemberMlsSecurityClass,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MemberMlsSecurityClass/
MemberOtherPhoneType,,14,1,https://dd.reso.org/DD2.0/lookups/MemberOtherPhoneType/
MemberStateLicenseType,,3,1,https://dd.reso.org/DD2.0/lookups/MemberStateLicenseType/
MemberStatus,,2,2,https://dd.reso.org/DD2.0/lookups/MemberStatus/
MemberType,,19,1,https://dd.reso.org/DD2.0/lookups/MemberType/
MiddleOrJuniorSchool,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MiddleOrJuniorSchool/
MiddleOrJuniorSchoolDistrict,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MiddleOrJuniorSchoolDistrict/
MlsStatus,Any value is allowed. No standard lookup values are defined. Providers may include local values.,0,1,https://dd.reso.org/DD2.0/lookups/MlsStatus/
NotedBy,,2,1,https://dd.reso.org/DD2.0/lookups/NotedBy/
ObjectIdType,,8,1,https://dd.reso.org/DD2.0/lookups/ObjectIdType/
ObjectType,,7,1,https://dd.reso.org/DD2.0/lookups/ObjectType/
OccupantType,,3,1,https://dd.reso.org/DD2.0/lookups/OccupantType/
OfficeAssociationPrimaryIndicator,,4,1,https://dd.reso.org/DD2.0/lookups/OfficeAssociationPrimaryIndicator/
