ResourceName,StandardName,DisplayName,Definition,Groups,SimpleDataType,SourceResource,SugMaxLength,SugMaxPrecision,Synonyms,FrenchCanadianDisplayName,SpanishDisplayName,ElementStatus,RecordId,LegacyRecordId,LookupStatus,LookupName,RepeatingElement,PropertyTypes,Payloads,StatusChangeDate,RevisedDate,AddedInVersion,WikiPageTitle,WikiPageUrl,WikiPageId,TargetResourceKey,SourceResourceKey,BEDES
Property,BuyerAgentMiddleName,Buyer Agent Middle Name,The middle name of the buyer's agent.,"Listing,AgentOffice,BuyerAgent",String,,50.0,,BuyerMemberMiddleName,Deuxième prénom du courtier ou agent de l’acheteur,Segundo Nombre de Agente Comprador,Active,c8652b0,100161.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentMiddleName Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentMiddleName+Field,2105136,,,
Property,BuyerAgentMlsId,Buyer Agent MLS ID,"The local, well-known identifier. This value may not be unique, specifically in the case of aggregation systems, and it should be the identifier from the original system.","Listing,AgentOffice,BuyerAgent",String,,25.0,,BuyerMemberMlsId,ID MLS du courtier ou agent de l’acheteur,ID de MLS de Agente Comprador,Active,a18883e,100179.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO","IDX,OM",2018-12-26 00:00:00,2021-06-17 00:00:00,,BuyerAgentMlsId Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentMlsId+Field,2105142,,,
Property,BuyerAgentMobilePhone,Buyer Agent Mobile Phone,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,"Listing,AgentOffice,BuyerAgent",String,,16.0,,BuyerMemberMobilePhone,Numéro de cellulaire du courtier ou agent de l’acheteur,Teléfono Móvil de Agente Comprador,Active,a645978,100168.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentMobilePhone Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentMobilePhone+Field,2105148,,,
Property,BuyerAgentNamePrefix,Buyer Agent Name Prefix,"The prefix to the name (e.g., Dr., Mr., Ms.).","Listing,AgentOffice,BuyerAgent",String,,10.0,,BuyerMemberNamePrefix,Titre de civilité du courtier ou agent de l’acheteur,Prefijo de Agente Comprador,Active,eb2ddf1,100792.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentNamePrefix Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentNamePrefix+Field,2105154,,,
Property,BuyerAgentNameSuffix,Buyer Agent Name Suffix,"The suffix to the name (e.g., Esq., Jr., III).","Listing,AgentOffice,BuyerAgent",String,,10.0,,BuyerMemberNameSuffix,Suffixe du courtier ou agent de l’acheteur,Sufijo de Agente Comprador,Active,3dd49d2,100796.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentNameSuffix Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentNameSuffix+Field,2105160,,,
Property,BuyerAgentNationalAssociationId,Buyer Agent National Association ID,"The national association ID of the buyer's agent (e.g., the NRDS number in the U.S.).","Listing,AgentOffice,BuyerAgent",String,,25.0,,,,,Active,e37852f,,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2020-01-17 00:00:00,2020-01-17 00:00:00,2.0.0,BuyerAgentNationalAssociationId Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentNationalAssociationId+Field,2105168,,,
Property,BuyerAgentOfficePhone,Buyer Agent Office Phone,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,"Listing,AgentOffice,BuyerAgent",String,,16.0,,BuyerMemberOfficePhone,Numéro de téléphone du bureau du courtier ou agent de l’acheteur,Teléfono de Despacho de Agente Comprador,Active,d3fa9a2,100166.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentOfficePhone Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentOfficePhone+Field,2105174,,,
Property,BuyerAgentOfficePhoneExt,Buyer Agent Office Phone Ext,The extension of the given phone number (if applicable).,"Listing,AgentOffice,BuyerAgent",String,,10.0,,BuyerMemberOfficePhoneExt,Poste téléphonique du bureau du courtier ou agent de l’acheteur,Extensión Telefónica de Agente Comprador,Active,3dd9efe,100167.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentOfficePhoneExt Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentOfficePhoneExt+Field,2105180,,,
Property,BuyerAgentPager,Buyer Agent Pager,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,"Listing,AgentOffice,BuyerAgent",String,,16.0,,BuyerMemberPager,Numéro de pagette du courtier ou agent de l’acheteur,Buscapersonas de Agente Comprador,Active,e071724,100172.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentPager Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentPager+Field,2105187,,,
Property,BuyerAgentPreferredPhone,Buyer Agent Preferred Phone,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,"Listing,AgentOffice,BuyerAgent",String,,16.0,,BuyerMemberPreferredPhone,Numéro de téléphone préféré du courtier ou agent de l’acheteur,Teléfono Preferido de Agente Comprador,Active,6155c43,100164.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentPreferredPhone Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentPreferredPhone+Field,2105194,,,
Property,BuyerAgentPreferredPhoneExt,Buyer Agent Preferred Phone Ext,The extension of the given phone number (if applicable).,"Listing,AgentOffice,BuyerAgent",String,,10.0,,BuyerMemberPreferredPhoneExt,Poste téléphonique préféré du courtier ou agent de l’acheteur,Extensión de Teléfono Preferido de Agente Comprador,Active,3410263,100165.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentPreferredPhoneExt Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentPreferredPhoneExt+Field,2105200,,,
Property,BuyerAgentStateLicense,Buyer Agent State License,The license of the buyer agent. Multiple licenses should be separated with a comma and space.,"Listing,AgentOffice,BuyerAgent",String,,50.0,,BuyerMemberStateLicense,Permis délivré par l’état du courtier ou agent de l’acheteur,Licencia Estatal de Agente Comprador,Active,2f396a3,100180.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2018-12-26 00:00:00,2021-06-17 00:00:00,,BuyerAgentStateLicense Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentStateLicense+Field,2105204,,,
Property,BuyerAgentTollFreePhone,Buyer Agent Toll Free Phone,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,"Listing,AgentOffice,BuyerAgent",String,,16.0,,BuyerMemberTollFreePhone,Numéro de téléphone sans frais du courtier ou agent de l’acheteur,Teléfono Gratuito de Agente Comprador,Active,4046dcd,100175.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentTollFreePhone Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentTollFreePhone+Field,2105210,,,
Property,BuyerAgentURL,Buyer Agent URL,The website Uniform Resource Identifier (URI) of the buyers agent.,"Listing,AgentOffice,BuyerAgent",String,,8000.0,,BuyerMemberURL,URL du site Web du courtier ou agent de l’acheteur,URL de Agente Comprador,Active,f74a59d,100177.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentURL Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentURL+Field,2105215,,,
Property,BuyerAgentVoiceMail,Buyer Agent Voice Mail,North American 10-digit phone numbers should be in the format of ###-###-#### (separated by hyphens). Other conventions should use the common local standard. International numbers should be preceded by a plus symbol.,"Listing,AgentOffice,BuyerAgent",String,,16.0,,BuyerMembervoiceMail,Messagerie vocale du courtier ou agent de l’acheteur,Buzón de Voz de Agente Comprador,Active,5bd32b1,100173.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentVoiceMail Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentVoiceMail+Field,2105222,,,
Property,BuyerAgentVoiceMailExt,Buyer Agent Voice Mail Ext,"The extension of the given phone number, if applicable.","Listing,AgentOffice,BuyerAgent",String,,10.0,,BuyerMemberVoiceMailExt,Poste de la messagerie vocale du courtier ou agent de l’acheteur,Ext de Buzón de Voz de Agente Comprador,Active,acc2ad1,100174.0,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2017-08-09 00:00:00,2021-06-17 00:00:00,,BuyerAgentVoiceMailExt Field,https://ddwiki.reso.org/display/DDW20/BuyerAgentVoiceMailExt+Field,2105228,,,
Property,BuyerBrokerageCompensation,Buyer Brokerage Compensation,"The total compensation to be paid to the buyer's brokerage for this sale, expressed as either a percentage or a constant currency amount.","Listing,Compensation",String,,25.0,,"SOComp, SellingOfficeCompensation, BuyerBrokerCompensation, SOC, Commission, BuyerAgencyCompensation",,,Active,68ec342,,,,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2020-02-20 00:00:00,2020-02-20 00:00:00,2.0.0,BuyerBrokerageCompensation Field,https://ddwiki.reso.org/display/DDW20/BuyerBrokerageCompensation+Field,2105072,,,
Property,BuyerBrokerageCompensationType,Buyer Brokerage Compensation Type,"A list of types to clarify the value entered in the BuyerBrokerageCompensation field. For example, $, % or some other clarification of the BuyerAgencyCompensation field.","Listing,Compensation","String List, Single",,25.0,,"SOCompType, SellingOfficeCompensationType, BuyerBrokerCompensationType, SOCType, CommissionType, BuyerAgencyCompensationType",,,Active,e43c163,,Open with Enumerations,CompensationType,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2020-02-20 00:00:00,2020-02-20 00:00:00,2.0.0,BuyerBrokerageCompensationType Field,https://ddwiki.reso.org/display/DDW20/BuyerBrokerageCompensationType+Field,2105080,,,
Property,BuyerFinancing,Buyer Financing,"A list of options that describe the type of financing used. This field is used when setting a listing to Closed (i.e., Cash, FHA Loan, etc.).","Listing,Closing","String List, Multi",,1024.0,,,Financement de l’acheteur,Financiamiento de Comprador,Active,5abb03e,100061.0,Open with Enumerations,BuyerFinancing,No,"RESI,RLSE,RINC,LAND,MOBI,FARM,COMS,COML,BUSO",OM,2011-11-09 00:00:00,2021-06-17 00:00:00,,BuyerFinancing Field,https://ddwiki.reso.org/display/DDW20/BuyerFinancing+Field,2105028,,,
Property,BuyerOffice,Buyer Office,The buyer agent's office.,"Listing,AgentOffice,BuyerAgent",Resource,Office,,,,,,Active,4171bfa,,,,,,OM,2022-01-08 00:00:00,2022-02-10 00:00:00,1.7.0,BuyerOffice Field,https://ddwiki.reso.org/display/DDW20/BuyerOffice+Field,2105235,BuyerOfficeKey,OfficeKey,
