LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
BuyerFinancing,13,1,"[{""Resource"":""Property"",""Field"":""BuyerFinancing"",""DisplayName"":""Buyer Financing"",""Usage"":""53%""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/BuyerFinancing/
CaravanAllowedClassNames,9,1,"[{""Resource"":""Caravan"",""Field"":""CaravanAllowedClassNames"",""DisplayName"":""Caravan Allowed Class Names"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanAllowedClassNames/
CaravanAllowedStatuses,3,1,"[{""Resource"":""Caravan"",""Field"":""CaravanAllowedStatuses"",""DisplayName"":""Caravan Allowed Statuses"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanAllowedStatuses/
CaravanResourceName,7,2,"[{""Resource"":""Caravan"",""Field"":""CaravanOrganizerResourceName"",""DisplayName"":""Caravan Organizer Resource Name"",""Usage"":""—""},{""Resource"":""CaravanStop"",""Field"":""StopResourceName"",""DisplayName"":""Stop Resource Name"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanResourceName/
CaravanStatus,3,1,"[{""Resource"":""Caravan"",""Field"":""CaravanStatus"",""DisplayName"":""Caravan Status"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanStatus/
CaravanStopAttended,3,1,"[{""Resource"":""CaravanStop"",""Field"":""StopAttendedBy"",""DisplayName"":""Stop Attended By"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanStopAttended/
CaravanStopClassName,9,1,"[{""Resource"":""CaravanStop"",""Field"":""StopClassName"",""DisplayName"":""Stop Class Name"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanStopClassName/
CaravanType,3,1,"[{""Resource"":""Caravan"",""Field"":""CaravanType"",""DisplayName"":""Caravan Type"",""Usage"":""—""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/CaravanType/
ChangeType,13,2,"[{""Resource"":""Property"",""Field"":""MajorChangeType"",""DisplayName"":""Major Change Type"",""Usage"":""59%""},{""Resource"":""HistoryTransactional"",""Field"":""ChangeType"",""DisplayName"":""Change Type"",""Usage"":""12%""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ChangeType/
ClassName,17,8,"[{""Resource"":""ContactListings"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""—""},{""Resource"":""HistoryTransactional"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""—""},{""Resource"":""Media"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""8%""},{""Resource"":""OtherPhone"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""—""},{""Resource"":""Queue"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""—""},{""Resource"":""Rules"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""—""},{""Resource"":""SavedSearch"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""—""},{""Resource"":""SocialMedia"",""Field"":""ClassName"",""DisplayName"":""Class Name"",""Usage"":""0%""}]",2026-05-04T15:52:53Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ClassName/
