LookupName,ValueCount,UsedByCount,UsedByJson,FetchedAt,Source,SourceUrl
InteriorOrRoomFeatures,53,2,"[{""Resource"":""Property"",""Field"":""InteriorFeatures"",""DisplayName"":""Interior Features"",""Usage"":""88%""},{""Resource"":""PropertyRooms"",""Field"":""RoomFeatures"",""DisplayName"":""Room Features"",""Usage"":""16%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/InteriorOrRoomFeatures/
LaborInformation,3,1,"[{""Resource"":""Property"",""Field"":""LaborInformation"",""DisplayName"":""Labor Information"",""Usage"":""4%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LaborInformation/
Languages,190,3,"[{""Resource"":""Contacts"",""Field"":""Language"",""DisplayName"":""Language"",""Usage"":""—""},{""Resource"":""Member"",""Field"":""MemberLanguages"",""DisplayName"":""Member Languages"",""Usage"":""46%""},{""Resource"":""Prospecting"",""Field"":""Language"",""DisplayName"":""Language"",""Usage"":""—""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Languages/
LaundryFeatures,24,1,"[{""Resource"":""Property"",""Field"":""LaundryFeatures"",""DisplayName"":""Laundry Features"",""Usage"":""75%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LaundryFeatures/
LeaseRenewalCompensation,5,1,"[{""Resource"":""Property"",""Field"":""LeaseRenewalCompensation"",""DisplayName"":""Lease Renewal Compensation"",""Usage"":""5%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LeaseRenewalCompensation/
LeaseTerm,10,1,"[{""Resource"":""Property"",""Field"":""LeaseTerm"",""DisplayName"":""Lease Term"",""Usage"":""57%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LeaseTerm/
Levels,8,1,"[{""Resource"":""Property"",""Field"":""Levels"",""DisplayName"":""Levels"",""Usage"":""78%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Levels/
LinearUnits,2,15,"[{""Resource"":""Property"",""Field"":""DistanceToBusUnits"",""DisplayName"":""Distance To Bus Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToElectricUnits"",""DisplayName"":""Distance To Electric Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToFreewayUnits"",""DisplayName"":""Distance To Freeway Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToGasUnits"",""DisplayName"":""Distance To Gas Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToPhoneServiceUnits"",""DisplayName"":""Distance To Phone Service Units"",""Usage"":""0%""},{""Resource"":""Property"",""Field"":""DistanceToPlaceofWorshipUnits"",""DisplayName"":""Distance To Placeof Worship Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToSchoolBusUnits"",""DisplayName"":""Distance To School Bus Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToSchoolsUnits"",""DisplayName"":""Distance To Schools Units"",""Usage"":""2%""},{""Resource"":""Property"",""Field"":""DistanceToSewerUnits"",""DisplayName"":""Distance To Sewer Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToShoppingUnits"",""DisplayName"":""Distance To Shopping Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToStreetUnits"",""DisplayName"":""Distance To Street Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""DistanceToWaterUnits"",""DisplayName"":""Distance To Water Units"",""Usage"":""1%""},{""Resource"":""Property"",""Field"":""ElevationUnits"",""DisplayName"":""Elevation Units"",""Usage"":""3%""},{""Resource"":""Property"",""Field"":""MobileDimUnits"",""DisplayName"":""Mobile Dimensions Units"",""Usage"":""2%""},{""Resource"":""PropertyRooms"",""Field"":""RoomLengthWidthUnits"",""DisplayName"":""Room Length Width Units"",""Usage"":""2%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LinearUnits/
ListAgentDesignation,27,1,"[{""Resource"":""Property"",""Field"":""ListAgentDesignation"",""DisplayName"":""List Agent Designation"",""Usage"":""30%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ListAgentDesignation/
ListingAgreement,7,1,"[{""Resource"":""Property"",""Field"":""ListingAgreement"",""DisplayName"":""Listing Agreement"",""Usage"":""69%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ListingAgreement/
ListingService,3,1,"[{""Resource"":""Property"",""Field"":""ListingService"",""DisplayName"":""Listing Service"",""Usage"":""39%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ListingService/
ListingTerms,26,1,"[{""Resource"":""Property"",""Field"":""ListingTerms"",""DisplayName"":""Listing Terms"",""Usage"":""78%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ListingTerms/
ListingURLDescription,7,1,"[{""Resource"":""Property"",""Field"":""ListingURLDescription"",""DisplayName"":""Listing URL Description"",""Usage"":""—""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ListingURLDescription/
LockBoxType,8,1,"[{""Resource"":""Property"",""Field"":""LockBoxType"",""DisplayName"":""Lock Box Type"",""Usage"":""39%""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LockBoxType/
LockOrBoxAccessType,3,1,"[{""Resource"":""LockOrBox"",""Field"":""LockOrBoxAccessType"",""DisplayName"":""Lock or Box Access Type"",""Usage"":""—""}]",2026-05-04T15:52:56Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LockOrBoxAccessType/
LotDimensionsSource,11,1,"[{""Resource"":""Property"",""Field"":""LotDimensionsSource"",""DisplayName"":""Lot Dimensions Source"",""Usage"":""6%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LotDimensionsSource/
LotFeatures,56,1,"[{""Resource"":""Property"",""Field"":""LotFeatures"",""DisplayName"":""Lot Features"",""Usage"":""84%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LotFeatures/
LotSizeSource,9,1,"[{""Resource"":""Property"",""Field"":""LotSizeSource"",""DisplayName"":""Lot Size Source"",""Usage"":""24%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LotSizeSource/
LotSizeUnits,3,1,"[{""Resource"":""Property"",""Field"":""LotSizeUnits"",""DisplayName"":""Lot Size Units"",""Usage"":""88%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/LotSizeUnits/
MediaAlteration,10,1,"[{""Resource"":""Media"",""Field"":""MediaAlteration"",""DisplayName"":""Media Alteration"",""Usage"":""1%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MediaAlteration/
MediaCategory,9,1,"[{""Resource"":""Media"",""Field"":""MediaCategory"",""DisplayName"":""Media Category"",""Usage"":""30%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MediaCategory/
MediaType,16,1,"[{""Resource"":""Media"",""Field"":""MediaType"",""DisplayName"":""Media Type"",""Usage"":""32%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MediaType/
MemberAssociationBillStatus,3,1,"[{""Resource"":""MemberAssociation"",""Field"":""MemberAssociationBillStatus"",""DisplayName"":""Member Association Bill Status"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MemberAssociationBillStatus/
MemberDesignation,27,1,"[{""Resource"":""Member"",""Field"":""MemberDesignation"",""DisplayName"":""Member Designation"",""Usage"":""49%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MemberDesignation/
MemberOtherPhoneType,14,1,"[{""Resource"":""Member"",""Field"":""MemberOtherPhoneType"",""DisplayName"":""Member Other Phone Type"",""Usage"":""1%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MemberOtherPhoneType/
MemberStateLicenseType,3,1,"[{""Resource"":""MemberStateLicense"",""Field"":""MemberStateLicenseType"",""DisplayName"":""Member State License Type"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MemberStateLicenseType/
MemberStatus,2,2,"[{""Resource"":""Member"",""Field"":""MemberStatus"",""DisplayName"":""Member Status"",""Usage"":""93%""},{""Resource"":""MemberAssociation"",""Field"":""MemberAssociationStatus"",""DisplayName"":""Member Association Status"",""Usage"":""0%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MemberStatus/
MemberType,19,1,"[{""Resource"":""Member"",""Field"":""MemberType"",""DisplayName"":""Member Type"",""Usage"":""88%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/MemberType/
NotedBy,2,1,"[{""Resource"":""ContactListingNotes"",""Field"":""NotedBy"",""DisplayName"":""Noted By"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/NotedBy/
ObjectIdType,8,1,"[{""Resource"":""InternetTracking"",""Field"":""ObjectIdType"",""DisplayName"":""Object ID Type"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ObjectIdType/
ObjectType,7,1,"[{""Resource"":""InternetTracking"",""Field"":""ObjectType"",""DisplayName"":""Object Type"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ObjectType/
OccupantType,3,1,"[{""Resource"":""Property"",""Field"":""OccupantType"",""DisplayName"":""Occupant Type"",""Usage"":""62%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OccupantType/
OfficeAssociationPrimaryIndicator,4,1,"[{""Resource"":""OfficeAssociation"",""Field"":""OfficeAssociationPrimaryIndicator"",""DisplayName"":""Office Association Primary Indicator"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OfficeAssociationPrimaryIndicator/
OfficeBranchType,3,1,"[{""Resource"":""Office"",""Field"":""OfficeBranchType"",""DisplayName"":""Office Branch Type"",""Usage"":""11%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OfficeBranchType/
OfficeCorporateLicenseType,2,1,"[{""Resource"":""OfficeCorporateLicense"",""Field"":""OfficeCorporateLicenseType"",""DisplayName"":""Office Corporate License Type"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OfficeCorporateLicenseType/
OfficeStatus,2,2,"[{""Resource"":""Office"",""Field"":""OfficeStatus"",""DisplayName"":""Office Status"",""Usage"":""88%""},{""Resource"":""OfficeAssociation"",""Field"":""OfficeAssociationStatus"",""DisplayName"":""Office Association Status"",""Usage"":""—""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OfficeStatus/
OfficeType,11,1,"[{""Resource"":""Office"",""Field"":""OfficeType"",""DisplayName"":""Office Type"",""Usage"":""76%""}]",2026-05-04T15:52:57Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OfficeType/
OpenHouseStatus,3,1,"[{""Resource"":""OpenHouse"",""Field"":""OpenHouseStatus"",""DisplayName"":""Open House Status"",""Usage"":""47%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OpenHouseStatus/
OpenHouseType,5,1,"[{""Resource"":""OpenHouse"",""Field"":""OpenHouseType"",""DisplayName"":""Open House Type"",""Usage"":""46%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OpenHouseType/
OperatingExpenseIncludes,33,1,"[{""Resource"":""Property"",""Field"":""OperatingExpenseIncludes"",""DisplayName"":""Operating Expense Includes"",""Usage"":""22%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OperatingExpenseIncludes/
OtherEquipment,21,1,"[{""Resource"":""Property"",""Field"":""OtherEquipment"",""DisplayName"":""Other Equipment"",""Usage"":""71%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OtherEquipment/
OtherPhoneType,14,2,"[{""Resource"":""Contacts"",""Field"":""OtherPhoneType"",""DisplayName"":""Other Phone Type"",""Usage"":""—""},{""Resource"":""OtherPhone"",""Field"":""OtherPhoneType"",""DisplayName"":""Other Phone Type"",""Usage"":""0%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OtherPhoneType/
OtherStructures,33,1,"[{""Resource"":""Property"",""Field"":""OtherStructures"",""DisplayName"":""Other Structures"",""Usage"":""77%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OtherStructures/
OwnerPays,29,1,"[{""Resource"":""Property"",""Field"":""OwnerPays"",""DisplayName"":""Owner Pays"",""Usage"":""53%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OwnerPays/
OwnershipType,4,1,"[{""Resource"":""Property"",""Field"":""OwnershipType"",""DisplayName"":""Ownership Type"",""Usage"":""22%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/OwnershipType/
ParkingFeatures,72,1,"[{""Resource"":""Property"",""Field"":""ParkingFeatures"",""DisplayName"":""Parking Features"",""Usage"":""86%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ParkingFeatures/
PatioAndPorchFeatures,16,1,"[{""Resource"":""Property"",""Field"":""PatioAndPorchFeatures"",""DisplayName"":""Patio And Porch Features"",""Usage"":""76%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PatioAndPorchFeatures/
Permission,7,1,"[{""Resource"":""Media"",""Field"":""Permission"",""DisplayName"":""Permission"",""Usage"":""25%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Permission/
PetsAllowed,8,1,"[{""Resource"":""Property"",""Field"":""PetsAllowed"",""DisplayName"":""Pets Allowed"",""Usage"":""65%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PetsAllowed/
PoolFeatures,35,1,"[{""Resource"":""Property"",""Field"":""PoolFeatures"",""DisplayName"":""Pool Features"",""Usage"":""79%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PoolFeatures/
Possession,12,1,"[{""Resource"":""Property"",""Field"":""Possession"",""DisplayName"":""Possession"",""Usage"":""74%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Possession/
PowerProductionAnnualStatus,3,1,"[{""Resource"":""PropertyPowerProduction"",""Field"":""PowerProductionAnnualStatus"",""DisplayName"":""Power Production Annual Status"",""Usage"":""—""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PowerProductionAnnualStatus/
PowerProductionOwnership,2,1,"[{""Resource"":""PropertyPowerProduction"",""Field"":""PowerProductionOwnership"",""DisplayName"":""Power Production Ownership"",""Usage"":""1%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PowerProductionOwnership/
PowerProductionType,2,2,"[{""Resource"":""Property"",""Field"":""PowerProductionType"",""DisplayName"":""Power Production Type"",""Usage"":""12%""},{""Resource"":""PropertyPowerProduction"",""Field"":""PowerProductionType"",""DisplayName"":""Power Production Type"",""Usage"":""1%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PowerProductionType/
PowerStorageType,5,1,"[{""Resource"":""PropertyPowerStorage"",""Field"":""PowerStorageType"",""DisplayName"":""Power Storage Type"",""Usage"":""—""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PowerStorageType/
PreferredAddress,3,1,"[{""Resource"":""Contacts"",""Field"":""PreferredAddress"",""DisplayName"":""Preferred Address"",""Usage"":""—""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PreferredAddress/
PreferredMail,4,1,"[{""Resource"":""Member"",""Field"":""MemberPreferredMail"",""DisplayName"":""Member Preferred Mail"",""Usage"":""—""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PreferredMail/
PreferredMedia,3,2,"[{""Resource"":""Member"",""Field"":""MemberPreferredMedia"",""DisplayName"":""Member Preferred Media"",""Usage"":""—""},{""Resource"":""Office"",""Field"":""OfficePreferredMedia"",""DisplayName"":""Office Preferred Media"",""Usage"":""0%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PreferredMedia/
PreferredPhone,7,1,"[{""Resource"":""Contacts"",""Field"":""PreferredPhone"",""DisplayName"":""Preferred Phone"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PreferredPhone/
PreferredPublication,5,1,"[{""Resource"":""Member"",""Field"":""MemberPreferredPublication"",""DisplayName"":""Member Preferred Publication"",""Usage"":""—""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PreferredPublication/
PropertyCondition,5,1,"[{""Resource"":""Property"",""Field"":""PropertyCondition"",""DisplayName"":""Property Condition"",""Usage"":""63%""}]",2026-05-04T15:52:58Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PropertyCondition/
PropertySubType,31,1,"[{""Resource"":""Property"",""Field"":""PropertySubType"",""DisplayName"":""Property Sub Type"",""Usage"":""95%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PropertySubType/
PropertyType,9,1,"[{""Resource"":""Property"",""Field"":""PropertyType"",""DisplayName"":""Property Type"",""Usage"":""99%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/PropertyType/
QueueTransactionType,3,1,"[{""Resource"":""Queue"",""Field"":""QueueTransactionType"",""DisplayName"":""Queue Transaction Type"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/QueueTransactionType/
ReasonActiveOrDisabled,16,1,"[{""Resource"":""Prospecting"",""Field"":""ReasonActiveOrDisabled"",""DisplayName"":""Reason Active Or Disabled"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ReasonActiveOrDisabled/
RentIncludes,13,1,"[{""Resource"":""Property"",""Field"":""RentIncludes"",""DisplayName"":""Rent Includes"",""Usage"":""39%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RentIncludes/
ResourceName,5,7,"[{""Resource"":""ContactListings"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""—""},{""Resource"":""Media"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""26%""},{""Resource"":""OtherPhone"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""0%""},{""Resource"":""Queue"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""—""},{""Resource"":""Rules"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""—""},{""Resource"":""SavedSearch"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""—""},{""Resource"":""SocialMedia"",""Field"":""ResourceName"",""DisplayName"":""Resource Name"",""Usage"":""1%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ResourceName/
ResponseTypes,2,1,"[{""Resource"":""InternetTrackingSummary"",""Field"":""ResponseType"",""DisplayName"":""Response Type"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ResponseTypes/
RoadFrontageType,13,1,"[{""Resource"":""Property"",""Field"":""RoadFrontageType"",""DisplayName"":""Road Frontage Type"",""Usage"":""72%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RoadFrontageType/
RoadResponsibility,3,1,"[{""Resource"":""Property"",""Field"":""RoadResponsibility"",""DisplayName"":""Road Responsibility"",""Usage"":""36%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RoadResponsibility/
RoadSurfaceType,11,1,"[{""Resource"":""Property"",""Field"":""RoadSurfaceType"",""DisplayName"":""Road Surface Type"",""Usage"":""74%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RoadSurfaceType/
Roof,34,1,"[{""Resource"":""Property"",""Field"":""Roof"",""DisplayName"":""Roof"",""Usage"":""89%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Roof/
RoomLengthWidthSource,11,1,"[{""Resource"":""PropertyRooms"",""Field"":""RoomLengthWidthSource"",""DisplayName"":""Room Length Width Source"",""Usage"":""1%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RoomLengthWidthSource/
RoomLevel,7,1,"[{""Resource"":""PropertyRooms"",""Field"":""RoomLevel"",""DisplayName"":""Room Level"",""Usage"":""33%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RoomLevel/
RoomType,33,2,"[{""Resource"":""Property"",""Field"":""RoomType"",""DisplayName"":""Room Type"",""Usage"":""25%""},{""Resource"":""PropertyRooms"",""Field"":""RoomType"",""DisplayName"":""Room Type"",""Usage"":""36%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RoomType/
RuleFormat,4,1,"[{""Resource"":""Rules"",""Field"":""RuleFormat"",""DisplayName"":""Rule Format"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/RuleFormat/
ScheduleType,3,1,"[{""Resource"":""Prospecting"",""Field"":""ScheduleType"",""DisplayName"":""Schedule Type"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ScheduleType/
SearchQueryType,2,1,"[{""Resource"":""SavedSearch"",""Field"":""SearchQueryType"",""DisplayName"":""Search Query Type"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SearchQueryType/
SecurityFeatures,28,1,"[{""Resource"":""Property"",""Field"":""SecurityFeatures"",""DisplayName"":""Security Features"",""Usage"":""74%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/SecurityFeatures/
Sewer,15,1,"[{""Resource"":""Property"",""Field"":""Sewer"",""DisplayName"":""Sewer"",""Usage"":""87%""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Sewer/
ShowingAppointmentMethod,3,1,"[{""Resource"":""ShowingAppointment"",""Field"":""ShowingAppointmentMethod"",""DisplayName"":""Showing Appointment Method"",""Usage"":""—""}]",2026-05-04T15:52:59Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingAppointmentMethod/
ShowingAppointmentStatus,4,1,"[{""Resource"":""ShowingAppointment"",""Field"":""ShowingAppointmentStatus"",""DisplayName"":""Showing Appointment Status"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingAppointmentStatus/
ShowingConsiderations,14,1,"[{""Resource"":""Property"",""Field"":""ShowingConsiderations"",""DisplayName"":""Showing Considerations"",""Usage"":""9%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingConsiderations/
ShowingContactType,4,1,"[{""Resource"":""Property"",""Field"":""ShowingContactType"",""DisplayName"":""Showing Contact Type"",""Usage"":""14%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingContactType/
ShowingMethod,3,1,"[{""Resource"":""ShowingAvailability"",""Field"":""ShowingMethod"",""DisplayName"":""Showing Method"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingMethod/
ShowingMethodRequest,3,1,"[{""Resource"":""ShowingRequest"",""Field"":""ShowingMethodRequest"",""DisplayName"":""Showing Method Request"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingMethodRequest/
ShowingRequestType,6,1,"[{""Resource"":""ShowingRequest"",""Field"":""ShowingRequestType"",""DisplayName"":""Showing Request Type"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingRequestType/
ShowingRequestor,11,1,"[{""Resource"":""ShowingRequest"",""Field"":""ShowingRequestor"",""DisplayName"":""Showing Requestor"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingRequestor/
ShowingRequirements,18,1,"[{""Resource"":""Property"",""Field"":""ShowingRequirements"",""DisplayName"":""Showing Requirements"",""Usage"":""28%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingRequirements/
ShowingServiceName,10,1,"[{""Resource"":""Property"",""Field"":""ShowingServiceName"",""DisplayName"":""Showing Service Name"",""Usage"":""1%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingServiceName/
ShowingStatus,4,1,"[{""Resource"":""Showing"",""Field"":""ShowingStatus"",""DisplayName"":""Showing Status"",""Usage"":""—""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/ShowingStatus/
Skirt,19,1,"[{""Resource"":""Property"",""Field"":""Skirt"",""DisplayName"":""Skirt"",""Usage"":""12%""}]",2026-05-04T15:53:00Z,dd.reso.org/DD2.0,https://dd.reso.org/DD2.0/lookups/Skirt/
