host_resource,host_field,fk_stem,candidate_satellite,candidate_simple_type,target_resource,target_field,name_match_score,name_match_kind,jaccard,type_match,lookup_match,signals_fired,recommendation,notes
Office,OfficeManagerKey,OfficeManager,OfficeManagerMlsId,String,Member,MemberMlsId,1.00,target_prefix,0.000,1.0,1,A|B|D,review,name_type_match_but_definitions_differ
Office,OriginatingSystemID,OriginatingSystem,OriginatingSystemName,String,OUID,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Office,OriginatingSystemID,OriginatingSystem,OriginatingSystemOfficeKey,String,OUID,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Office,SourceSystemID,SourceSystem,SourceSystemName,String,OUID,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
Office,SourceSystemID,SourceSystem,SourceSystemOfficeKey,String,OUID,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeAssociation,OfficeKey,Office,OfficeAssociationPrimaryIndicator,"String List, Single",Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeAssociation,OfficeKey,Office,OfficeAssociationStatus,"String List, Single",Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeAssociation,OfficeKey,Office,OfficeAssociationStatusDate,Date,Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeAssociation,OfficeKey,Office,OfficeMlsId,String,Office,OfficeMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicense,String,Office,OfficeCorporateLicense,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseExpirationDate,Date,Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseKey,String,Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseState,"String List, Single",Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeCorporateLicense,OfficeKey,Office,OfficeCorporateLicenseType,"String List, Single",Office,,0.00,no_match,0.000,0.0,0,A,keep_both,no_child_match
OfficeCorporateLicense,OfficeKey,Office,OfficeMlsId,String,Office,OfficeMlsId,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,id_suffix_threshold_0.7
OpenHouse,ShowingAgentKey,ShowingAgent,ShowingAgentFirstName,String,Member,MemberFirstName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
OpenHouse,ShowingAgentKey,ShowingAgent,ShowingAgentLastName,String,Member,MemberLastName,1.00,target_prefix,1.000,1.0,1,A|B|C|D,drop_from_host,
OpenHouse,ShowingAgentKey,ShowingAgent,ShowingAgentMlsID,String,Member,MemberMlsId,0.80,target_prefix_casefold,1.000,1.0,1,A|B|C|D,drop_from_host,
