host_resource,host_field,host_field_type,target_resource,target_field,fk_kind,confidence,evidence,notes
Property,CoBuyerOfficeNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:CoBuyerOfficeNationalAssociation->Association,
Property,CoListAgent,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Property,CoListAgentKey,String,Member,MemberKey,prose,medium,"prose:P1:""foreign key relating to the Member Resource's MemberKey""",
Property,CoListAgentNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:CoListAgentNationalAssociation->Association,
Property,CoListOffice,Resource,Office,OfficeKey,resource_typed,medium,type:resource_typed:SourceResource=Office,
Property,CoListOfficeKey,String,Office,OfficeKey,prose,high,"prose:P1:""foreign key relating to the Office Resource's OfficeKey"" | name:tail_stem:CoListOffice->Office",
Property,CoListOfficeNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:CoListOfficeNationalAssociation->Association,
Property,GreenBuildingVerification,Collection,PropertyGreenVerification,,collection_typed,medium,type:collection_typed:SourceResource=PropertyGreenVerification,inverse_one_to_many
Property,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Property,ListAgent,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Property,ListAgentKey,String,Member,MemberKey,prose,medium,"prose:P1:""foreign key relating to the Member Resource's MemberKey""",
Property,ListAgentNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:ListAgentNationalAssociation->Association,
Property,ListOffice,Resource,Office,OfficeKey,resource_typed,medium,type:resource_typed:SourceResource=Office,
Property,ListOfficeKey,String,Office,OfficeKey,prose,high,"prose:P1:""foreign key relating to the Office Resource's OfficeKey"" | name:tail_stem:ListOffice->Office",
Property,ListOfficeNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:ListOfficeNationalAssociation->Association,
Property,ListTeam,Resource,Teams,,resource_typed,medium,type:resource_typed:SourceResource=Teams,
Property,ListTeamKey,String,Teams,TeamKey,prose,medium,"prose:P1:""foreign key relating to the Teams Resource's TeamKey""",
Property,Media,Collection,Media,MediaKey,collection_typed,medium,type:collection_typed:SourceResource=Media,inverse_one_to_many
Property,OpenHouse,Collection,OpenHouse,OpenHouseKey,collection_typed,medium,type:collection_typed:SourceResource=OpenHouse,inverse_one_to_many
Property,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Property,OriginatingSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
Property,PowerProduction,Collection,PropertyPowerProduction,,collection_typed,medium,type:collection_typed:SourceResource=PropertyPowerProduction,inverse_one_to_many
Property,Rooms,Collection,PropertyRooms,,collection_typed,medium,type:collection_typed:SourceResource=PropertyRooms,inverse_one_to_many
Property,SocialMedia,Collection,SocialMedia,SocialMediaKey,collection_typed,medium,type:collection_typed:SourceResource=SocialMedia,inverse_one_to_many
Property,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Property,SourceSystemID,String,OUID,OrganizationUniqueId,prose,medium,"prose:P6:""OUID Resource's OrganizationUniqueId""",
Property,UnitTypes,Collection,PropertyUnitTypes,,collection_typed,medium,type:collection_typed:SourceResource=PropertyUnitTypes,inverse_one_to_many
Property,UniversalPropertyId,String,Property,,name_shape,low,name:tail_stem:UniversalProperty->Property,
PropertyGreenVerification,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
PropertyGreenVerification,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
PropertyGreenVerification,ListingKey,String,Property,SourceSystemKey,prose,medium,"prose:P6:""Property Resource's SourceSystemKey""",
PropertyPowerProduction,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
PropertyPowerProduction,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
PropertyPowerProduction,ListingKey,String,Property,SourceSystemKey,prose,medium,"prose:P6:""Property Resource's SourceSystemKey"" | prose:P3:""foreign key relating to the Property Resource""",
PropertyRooms,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
PropertyRooms,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
PropertyRooms,ListingKey,String,Property,SourceSystemKey,prose,medium,"prose:P6:""Property Resource's SourceSystemKey"" | prose:P3:""foreign key relating to the Property resource""",
PropertyUnitTypes,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
PropertyUnitTypes,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
PropertyUnitTypes,ListingKey,String,Property,SourceSystemKey,prose,medium,"prose:P6:""Property Resource's SourceSystemKey"" | prose:P3:""foreign key relating to the Property Resource""",
Prospecting,ContactKey,String,Contacts,,prose,medium,"prose:P3:""foreign key relating to the Contacts Resource""",
Prospecting,OwnerMemberID,String,Member,MemberKey,name_shape,low,name:tail_stem:OwnerMember->Member,
Prospecting,OwnerMemberKey,String,Member,MemberKey,prose,high,"prose:P1:""foreign key relating to the Member Resource's MemberKey"" | name:tail_stem:OwnerMember->Member",
Prospecting,SavedSearchKey,String,SavedSearch,SavedSearchKey,prose,high,"prose:P3:""foreign key relating to the SavedSearch Resource"" | name:exact_stem:SavedSearch->SavedSearch",
Queue,ResourceRecordKey,String,,,prose,medium,"prose:P5:""foreign key from the resource selected in the ResourceName field""",polymorphic
Rules,FieldKey,String,Field,FieldKey,name_shape,low,name:exact_stem:Field->Field,
Rules,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Rules,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Rules,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
SavedSearch,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
SavedSearch,Member,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
SavedSearch,MemberKey,String,Member,MemberKey,prose,high,"prose:P1:""foreign key relating to the Member Resource's MemberKey"" | name:exact_stem:Member->Member",
SavedSearch,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
SavedSearch,OriginatingSystemMemberKey,String,Member,MemberKey,name_shape,low,name:tail_stem:OriginatingSystemMember->Member,
SavedSearch,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,AgentOriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,AgentSourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Showing,Listing,Resource,Property,,resource_typed,medium,type:resource_typed:SourceResource=Property,
Showing,ListingOriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,ListingSourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,Media,Collection,Media,MediaKey,collection_typed,medium,type:collection_typed:SourceResource=Media,inverse_one_to_many
Showing,ShowingAgent,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Showing,ShowingAgentKey,String,Member,MemberKey,prose,medium,"prose:P1:""foreign key relating to the Member Resource's MemberKey""",
Showing,ShowingOriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,ShowingSourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Showing,SocialMedia,Collection,SocialMedia,SocialMediaKey,collection_typed,medium,type:collection_typed:SourceResource=SocialMedia,inverse_one_to_many
ShowingAppointment,ShowingAgentKey,String,Member,MemberKey,prose,medium,"prose:P2:""foreign key relating to the Member Key of the Member Resource""",
ShowingAppointment,ShowingId,String,Showing,ShowingKey,name_shape,low,name:exact_stem:Showing->Showing,
ShowingAppointment,ShowingKey,String,Showing,ShowingKey,name_shape,low,name:exact_stem:Showing->Showing,
ShowingAvailability,ShowingId,String,Showing,ShowingKey,name_shape,low,name:exact_stem:Showing->Showing,
ShowingAvailability,ShowingKey,String,Showing,ShowingKey,name_shape,low,name:exact_stem:Showing->Showing,
ShowingAvailability,UniversalPropertyId,String,Property,,name_shape,low,name:tail_stem:UniversalProperty->Property,
ShowingRequest,ShowingAgentKey,String,Member,MemberKey,prose,medium,"prose:P2:""foreign key relating to the MemberKey of the Member Resource""",
ShowingRequest,ShowingId,String,Showing,ShowingKey,name_shape,low,name:exact_stem:Showing->Showing,
ShowingRequest,ShowingKey,String,Showing,ShowingKey,name_shape,low,name:exact_stem:Showing->Showing,
SocialMedia,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
SocialMedia,ResourceRecordKey,String,,,prose,medium,"prose:P5:""foreign key from the resource selected in the ResourceName field""",polymorphic
TeamMembers,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
TeamMembers,Member,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
TeamMembers,MemberKey,String,Member,MemberKey,prose,high,"prose:P1:""foreign key relating to the Member Resource's MemberKey"" | name:exact_stem:Member->Member",
TeamMembers,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
TeamMembers,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
TeamMembers,TeamKey,String,Teams,,prose,medium,"prose:P7:""foreign key referencing the Teams Resource's primary key""",
TeamMembers,TeamMemberNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:TeamMemberNationalAssociation->Association,
Teams,HistoryTransactional,Collection,HistoryTransactional,HistoryTransactionalKey,collection_typed,medium,type:collection_typed:SourceResource=HistoryTransactional,inverse_one_to_many
Teams,Media,Collection,Media,MediaKey,collection_typed,medium,type:collection_typed:SourceResource=Media,inverse_one_to_many
Teams,OriginatingSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Teams,SourceSystem,Resource,OUID,,resource_typed,medium,type:resource_typed:SourceResource=OUID,
Teams,TeamLead,Resource,Member,MemberKey,resource_typed,medium,type:resource_typed:SourceResource=Member,
Teams,TeamLeadNationalAssociationId,String,Association,AssociationKey,name_shape,low,name:tail_stem:TeamLeadNationalAssociation->Association,
Teams,TeamsSocialMedia,Collection,SocialMedia,SocialMediaKey,collection_typed,medium,type:collection_typed:SourceResource=SocialMedia,inverse_one_to_many
